output,correct out,translated
pp donly want those operations which the ekternaly visibl interface or,"operations, we only want those operations which the externally visible interface or",पीपी केवल उन ऑपरेटरों को चाहता है जो बाहरी रूप से दिखाई देने वाले इंटरफ़ेस या
the buttons in this case of the black box pcture alow us to use,the buttons in this case of the black box picture allow us to use.,ब्लैक बॉक्स चित्र के इस मामले में बटन हमें उपयोग करने की अनुमति देते हैं
ikwise if we define u be an empty dictionary then we can use a function such as d dot value,likewise if we define d to be an empty dictionary then we can use a function such as d dot values,ikwise अगर हम एक खाली शब्दकोश को परिभाषित करते हैं तो हम एक फ़ंक्शन का उपयोग कर सकते हैं जैसे कि डी डॉट वैल्यू
to get the list of values curently stored but we canot maniulate d as alist s,"to get the list of values currently stored, but we cannot manipulate d as a list. so,","वर्तमान में संग्रहीत मूल्यों की सूची प्राप्त करने के लिए, लेकिन हम डी को एलिस्ट एस के रूप में हेरफेर नहीं कर सकते"
we canot say d dot append it wil give us an erro python uses the type information,we cannot say d dot append it will give us an error. python uses the type information,हम यह नहीं कह सकते
hose behavior isecifie without teling us anything about the internal emplementation,whose behavior is specified without telling us anything about the internal implementation.,आंतरिक कार्यान्वयन के बारे में हमें कुछ भी बताए बिना नली का व्यवहार छेड़ी है
and remove the element at the head of the queue cing the fntion bremod q and fo,and remove the element at the head of the queue using the function remove q. and for,और कतार के सिर पर तत्व को हटा दें
possibility as factors we dont have to lo at any number becas  am becus he cano,"possibility as factors we don't have to look at any number bigger than m, because it cannot",कारकों के रूप में संभावना है कि हम किसी भी संख्या में लो नहीं है
first step in or algrthm says to compute the actors of  so by our observation,"first step in our algorithm says to compute the factors of 14. so, by our observation",पहले कदम में या अल्ग्रथम हमारे अवलोकन द्वारा एसओ के अभिनेताओं की गणना करने के लिए कहता है
died d is  iu  devinder ow  does not dih  does not divie  do,"14 dived by 2 is 7 with no remainder. now 3 does not divide, 4 does not divide, 5 does",DEAD D IS IU DEVINDER OW DIH DIV नहीं करता है
divis tha s  in s  then again  does not divide but  dousthen again ter,"7 divides, because 7 9's are 63. then again 8 does not divides, but 9 does. then again","divis tha s s में फिर से विभाजित नहीं होता है, लेकिन फिर से dousthen ter"
a a lasst gap of  number which dont divide and then en[UNK] n doese divide bucas e[UNK] n ys,"there are large gap of numbers, which do not divide. and then 21 does divide, because 21",संख्या का एक लेस्स्ट गैप जो विभाजित नहीं होता है और फिर एन [अनक] एन डोज़ डिवाइड बुकस ई [अनक] एन वाईएस
and then finaly we find that the last factor that we have is,"3's are 63. and then finally, we find that the last factor that we have is 63. so, if",और फिर अंत में हम पाते हैं कि हमारे पास जो अंतिम कारक है वह है
here is a very sinpl way we gust gow thro one of the list sayve the list of factor,but here is a very simple way. we just go through one of the lists say the list of factors,यहाँ एक बहुत ही सिंक तरीका है कि हम गस्ट गॉव थ्रो को एक सूची में से एक कारक की सूची कहते हैं
of [UNK] and for ehittem in the list we ceack if it is a factor,of 14 and for each item in the list we check it is a factor of 63.,[unk] और सूची में eHittem के लिए हम ceakeck अगर यह एक कारक है
in this  way we av sistematicaly gon throo   and  and con cluoueded that  by,"in this way we have systematically gone through 1, 2, 7 and 14 and concluded that of these",इस तरह से हम sistematicaly गॉन थ्रू और कोन और con ने कहा कि
stracted the largeist one and this infact is ardes this is an egample of how this lo wuld,"extracted the largest one and this in fact, is our gcd. this is an example of how this",सबसे बड़ा एक और यह संक्रमित है कि यह एक उदाहरण है कि यह लो wuld कैसे है
n having done this we want to ritturn the larist vale ofther list of forn factors remembe,and having done this now we want to return the largest value of the list of common factors.,n यह करने के बाद हम सबसे बड़े VALE को फॉर्म कारकों की अन्य सूची को वापस करना चाहते हैं
fman fn where oinstructed from o to mman on to  the largeist value wil also be ther,"fm and fn, where constructed from 1 to m and 1 to n the largest value will also be the",इन के बीच सबसे बड़ा सामान्य कारक लिस्लीफ के रूप में हम डब्ल्यू के रूप में बयानों के रूप में
largest comen factor betwen these to lissleif we ad w astractstatements,"largest of common factor between these two lists. so, earlier we had three abstract statements",यह एक फ़ंक्शन की परिभाषा के लिए एक परिभाषा sor def है
this is a definition sor def for definition of a functiontm so,"this is a definition, so def for definition of a function gcd m, n.",इस गुपोफ़ पील की एकेडिंस आप सल्रथेट डिफ्रेन्ट लेवर्स का वर्णन कर सकते हैं
enty list n we ned pro test every value in herange one to m,the empty list. now we need to test every value in the range 1 to n.,तब हम y को सूची में डालते हैं
oof a pecquliarety of python this retterns not the rang yo epect but one list s if,"of peculiarity of python this returns not the range you except, but one less. so, if",हम वाइन और आइवी वेथन वाईफाइंड डिवीजन से आक्रोश के लिए यह कहते हैं और अब हम करते हैं
the ecpedience of this gupof peale you can describe the salrthatd diffrent levrs,"the experience of this group of people, you can describe this algorithm at different levels",आरयू ने सूची को बाहर निकाल दिया और एक मान को विज्ञापन दिया
then we wil append y to the list afend wil ad it to the rit  oend deis,"is 0 then we will append i to the list fn, we will add it to the right append is the",टी पायथन में एक छोटे पर्दे हैं यदि आप आरआईई को आकर आना चाहते हैं तो हम आते हैं
we gust se that for achy from wone anad iy wethon wiefind divideion and now we have do,we just said that for each i from 1 to m add i to fm if i divides m and now we have done,Mindersfon mindes onso onso के रूप में संख्याएँ यह SAIS मिस वन पॉप्लमेंट लौटाती हैं
in that rangh we ae checkt fit is a diviser then add,in that range we have checked it is a divisor and then add it.,वहाँ oer sintacttictins हैं तो thera पूर्व उदाहरण के लिए आप thesinueation है
factors afen for evry a in this ranehe if it divides we appendit and nw s this ponted,"factors of n for every j in for this range if it divides we append it. now, at this point",oure ऐसे कारकों का मालिक है जो पायथन कार्यक्रमों को pogram की तुलना में vrie और संस्कार के लिए थोड़ा आसान बनाते हैं
ru outt seerat the list and ad a value which value we aded the value that we are louing,throughout. just take a list and add a value. which value? we add the value that we are,पहला महत्वपूर्ण बिंदु यह है कि हम मध्यवर्ती tmims के ट्रैक करने के लिए ao रास्ता nde
t python has a short curtss hif you want to come frm the rie then we come,python has a shortcut which says that you want to count from the right then we count,अल कारक ineeeon thes intermmedat vls thies के ca ca ca caeping के al wayis हैं
the numbers as mindersfon mindes onso onso it sais  retern the minss one poplement,"the numbers as minus 1, minus 2 and so on. so, it says return the minus 1'th element",फोरपैम्पल नैन संख्याएं हैं जो सटीक रूप से yn a u step ar नंबर o इन हैं
that there are oer sintacttictins so thera  afor example you have thesinueation,"that are other syntactic things here, so there are for example, you have these punctuation",क्या imot ecaus
oure ownd fectuors that make python programs a litl isier to vrie and rite than pogram,these are all features that make python programs a little easier to read and write then programs,"Dha neuw फैक्टर of We do ont चाहते हैं कि हम उस पुराने कारक को फेंकना चाहते हैं, जिसे हम exeicte लेना चाहते हैं"
hfirst important pint is that we nde ao way to cepe track of intr mddiet tmims so,"first important point is that we need a way to keep track of intermediate values. so,",और उस क्षमता के संदर्भ में हम इसे एलएफ की तुलना में कम करते हैं
al the factors ineeon  thes are al wayis of ceaping ca of intermmedat vls thies,"all the factors in cf. so, these are all ways of keeping track of intermediate values. the",ay muclie एक पाप के द्वारा यह ओ तो yyo इसे देखते हैं जैसे हम लंबे समय तक जाते हैं
foregample nan are numbers simarely yn  a u step ar numbers o these,"for example, m n are numbers, similarly i, j and f at each step are numbers. so, these",Taepurt कि हम यह नहीं बताते हैं कि हम कैसे चरणों को निष्पादित करते हैं जैसे कि हम सेट करते हैं कि ebiegin
are imot ecause it would be ery difial to rite a programe if we had to keap predusin,"are important, because it would be very difficult to write a program if we had to keep producing","उदाहरण के लिए हमें everypossibl कारक के लिए जाँच करनी होगी, यदि यह m और m और the को विभाजित करता है"
of m regared sofig  ems so thes names can di not can be dinot singule values o,of m regardless of how big m is. these names can denote can be denote single values or,oif mdivid bi o theapappendn की याद दिलाता है तो चरण appen y to femn t
dha neuw factor of  we do ont want to throw way the olde factor we want to take the exeicte,a new factor of n we do not want to through any old factor we want to take the existing,हमने एक ही चीज़ को फिर से डॉन एफ़न को फिर से कदम रखा है और हम सशर्त में हैं
the name efen to a neow name which teaks the orled nam and sterts aon y at the end offi,the name fn to a new name which takes the old name and sticks an i at the end of it.,isenialy उसका ileistraig rog ra का एक बहुत अच्छा तरीका है
and in terms of that capability we deiscribe he er than it lf,"and in terms of that capability, we describe the algorithm itself.",ट्राइप की एक पुस्तक पर से एक और एक और sity के लिए यह मक्खी की व्यवस्था करने के लिए यह पेशकश करता है
ay muclie by  an a sin it o so yyo see this as we go long u,"value of i, multiply it by two and assign it to i. so, we will see this as we go along,",सभी अलग -अलग तरीकों के बीच और बी से और बी कर सकते हैं
assineman can ither  assin a completely nu value ar to toopdate the value usesi,but assignment can either assign a completely new value or you could update the value using,o k m का एक भाजक है अगर iy ky द्वारा m को विभाजित कर सकता है और अब Reminde H प्राप्त कर सकता है
taepurt that we ned to not is how we execute steps  as we set that the ebiegin,"the other part that we are need to note is how we execute steps. so, we said at the beginning",v तब हम se कर सकते हैं कि ou का एक कारक है एक divies o fo भी divieoro है
fo instance we have to check for everypossibl factor from on to m if it divides m and the,for instance we have to check for every possible factor from 1 to m if it divides m and then,"आप के एक अन्य विभाजक को टोल करें, लेकिन टी का विभाजक नहीं है इसलिए अगर हम ओ डिव को कर रहे हैं"
oif the reminder of mdivid bi o thenapappendn so the step appen y to femn t,"is 0, if the remainder of m divided by a is 0 then append. so, the step append i to fm",n की तुलना में buiger कि ivvrihs दोनों और [unk] yv ssns पर विभाजित s er
we have reeted steps the the same thing don agan an again and we ave conditional,we have repeated steps where same thing done again and again. and they have conditionals,कैसे एक के बारे में कैसे जाना होगा nans यह वह जगह है जहां हम thealgortmint पर आते हैं
isenialy his is a oud way of ileistraig rog ra,but essentially this is a good way of illustrating programming. ,"गैटर ने वेगोलोंग के रूप में कहा, लेकिन अगर हम सिर्फ जीए की परिभाषा को देखते हैं"
m of impetation for instance if we use e spred shepe  arange information and,"realm of computation. for instance, if we use a spreadsheet to arrange information and",अल के कारकों के कारकों में एम के कारकों को एम के कारकों और लार्जिस्ट ओई को ढूंढते हैं
performed some tass s n lrfthem concsis of a sequenc of steps which we can think of,perform some task. an algorithm consists of a sequence of steps which can we think of,AWE ANT ROM A A OTORTO उन चीजों के लिए है जो वह है कि क्या करना है इसका वर्णन
trype a bok oflye from on ity to another sity it wole offer to arainge the fly,try to book a flight from one city to another city it will offer to arrange the flights,टी निर्देश उचाई वथत यूट में अमन एमएन के मूल्य का संबंध है
can et fromad to  and b amon al the diffrent wais wecan get frome ad to  we wo nt optim,"get from a to b, and b among all the ways we can get from a to b we want the optimum",कारक यू में एक बहुत बड़ी संख्या है
and thae is what we cal  data suci,and that is what we call a data structure.,हमने कई स्थितियों को देखा है जहां हम मूल्यों का अनुक्रम संग्रहीत करना चाहते हैं
o k is a divisor of m if iy can divided m by ky and get now reminde h,"divides. so k is a divisor of m; if i can divide m by k and get no reminder. so, the",ओरिन एआर सूची यह महंगा है कि इसे प्राप्त करने के लिए यह समय लेता है
v then we can se that  is a factor of  ou is a divies o fo is also divieoro,"12, then we can see that 4 is the factor of 8, 4 is the divisor of 8, 4 is also divisor",n के आश्रित में लगातार समय के लिए गर्म pousition सराय में मूल्य प्राप्त करने के लिए ut tha eosition
tol an other diviser of toi  but  is not a diviser of t so if we col o the div,"of 12, another divisor of 12 is 6, but 6 is not a divisor of 8. so, if we go through the",यू पोजिशन प्राप्त करने के लिए डॉन वेटसूट स्थिति तो एक सूची में होगी
buiger than n that ivvrihs both  and [UNK]yv ssns on divide s er,"bigger than 1 that divides both 18 and 25. since 1 divides every number, as we saw in",लिंस का अनुक्रम और फिर लिन का एक और अनुक्रम
how wuld on go about th computing g of nans this is where we come to thealgortmint,"so, how would one go about computing gcd of m, n? so, this is where we come to the algorithmic",उत्तरी विच एक सूची के लिए कुशलता से काम करता है
algoritmikult we want to describe a yuounifome way of sistematicaly computin thes idee of m an m for an,"way, we want to describe the uniform way of systematically computing gcd of m n for any",रैंड विस्र बेटा तो
gatr ons as wegollong but if we gust lok at the definition of ga it sas l,better once as we go along. but if we just look at the definition of gcd it says look,हम भी अब एक अरक में एक अरक में बहुत बड़ा है कि यह ब्लोक कितना बड़ा है
at al the factors of m lo at al the factors of m and find the largeist oe which is a,"at all the factors of m, look at all the factor of n and find the largest one which is the",इसलिए हमारे पास मूल्यों का एक सेपेंस है जो हम चाहते हैं कि विषय एक दिया गया मान हो
awe ant rom an otorto are to things e is that the discrption of what to do,we want from an algorithm are two things. one is that the description of what to do,इससे कोई फर्क नहीं पड़ता कि इससे कोई फर्क नहीं पड़ता
t instructions regardis of the valus of aman mn in uchae wathat yut can prete it and compre en,the instruction regardless of the value m and n in such a way it can read it and comprehend,हम ned tow arfol यह वहाँ है या यह एक बहुत ही सरल बात नहीं है
factors yu have a very large numberform yo mit have many factors s the proes,"factors they are the very large number for n you might have many factors. so, the process",हम ई lop hr o al के रूप में te seeens में तत्वों के रूप में करते हैं और wiether en तत्व की जाँच करते हैं
we have sen everal sithuations wer we want to store a sequence of values,we have seen several situations where we want to store a sequence of values.,कि अगर हम इस बिंदु को फिर से प्राप्त करते हैं तो हमारे पास उस मूल्य पर है जो हम lking हैं या
orin ar list it is ecpencive  to get to the it thelement it takes time pr ortion,"therefore, in a list it is expensive to get to the ith element it takes time proportional",और मूल्य के बजाय मूल्य स्थिति y की जाँच करें
ut tha eosition tho gwet the valu at the heate  pousition inn constant time in dependent of n,"at ith position, get the value at the jth position in constant time independent of i",इस फ़ंक्शन का मुख्य पिंट प्रतिक्रिया करता है कि हमारे पास SA के अलावा अन्य खोज करने का कोई समाधान नहीं है
don wethdeit poition to get the u positions so wil have in in a list the would have,down to the jth position to get the two positions so i will have in a list i would have the,p nd यो के साथ शुरू होने वाले मेमरी के साथ yath तत्व को प्राप्त करना चाहते हैं लेकिन
ecquence of lins and then aeraan aother seuence of lins,sequence of links and then i would have another sequence of links.,अधिक आम तौर पर सूची और डीआईएफ में नहीं है
the having now identified  the blok wear thats value is in the blok wht  ded,then having now identified the block where the ith value is and the block where the jth,"डब्ल्यू सूची में नहीं है, जिस तरह से हम यह निर्धारित कर सकते हैं कि हम सूची में नहीं हैं"
the lenkt of each element of the ar is of a uniform sies and,length of each element of the array is of a uniform size.,अब तक यह नहीं देखा है कि हम बाद में ई देखने नहीं जा रहे हैं
to desine for sequences apply depending on how the sekuenc is actaly represented,to design for sequences apply depending on how the sequence is actually represented.,"अनुक्रम आपको एक thist computeytimes शुरू करता है, यह युनिट और uicely com के इस siyes"
nrgorthen wich works eficiently for a list may o canot work eficiently foronar,an algorithm which works efficiently for a list may or may not work efficiently for an,पहले Inort को देखना होगा
rand visr son so to,array and vice versa.,तो सामान्य रूप से अगर हमारे पास एक sekuence है तो o को खोजने के लिए eficient तरीका है पहले लू के लिए है
we wold also tialy in an ar  now in aranc how big this blok is,we would also typically in an array no in advance how big this block is.,जब आप कुछ बेड के रूप में आप namo oaf peurson thear thear सोच सोच के रूप में ले लो
or we can even cal it a seuence hit w we mot precie in a sequence whic wue cale a sequeu,or we can even call it a sequence to be we more precise in a sequence which we call seq.,के रूप में हम lk a
so we have a sepence of values we want topic wither a given value is ded orn,"so, we have a sequence of values we want to check whether a given value is there or not.",tr nrart कि लू का स्वागत करते हैं और इसलिए ओ एन
hat does it matere des it not matrro,"or does it matter, does it not matter at all.",हम उस सेगमा को लैन का उपयोग करते हुए बताते हैं
we ony ned tow arfol isit ther or s it not itis a very simplthing wht,"only need true or false, is it there or is it not, it is a very simple thing.",देवता
we do as e lop hr o al the elements in te seens and check wiether en element,what we do is we loop through all the elements in the sequence and check whether any element,हम पिन पाइन n पाते हैं
that if we rech this point we have in fownd the value  that we are lking or,that we have reached this point we have not found the value v that we are looking for,और इसलिए यह एक माइट मीना s s stok
and check the valu re position y rathere than the value itselef,and check the value at position i rather than the value itself.,वह वही छोड़ दिया
the main pint of this functionan eeact we have no selution to sertch other than to sa,the main point of this function is that we have no solution to search other than to scan,icais fol हम इसे या तो अपने तत्वों को अन्य तरीके नहीं पा सकते हैं
t this value mite be,this value might be.,हम एम के वाई के लिए एक एकप्रेशन चाहते हैं जो इस आउटलिस को संतुष्ट करता है जिसे एक टूर nsnormnly कहा जाता है
of memeary starting with    p  nd yo want to get to the yath element cuickely but,"of memory starting with 1, 2, 3, up to i right and you want to get to the ith element quickly.",ईर्ष्या के बाईटी पर एन कतारबद्ध तो
so v is the last vlue then we ave to look at ol u,"so, v is the last value then we have to look at all.",तो वाट वेन यह ग्रहण इसलिए हो जाता है तो ई एन इकोले टू द वाई है
mor genearlly  is not in the list n dif,but more generally v is not in the list.,थूस के लॉग के लॉग ने लो की एक Ecuvilin परिभाषा के लिए ates
w isnot in the list the only way we can determind that we is not in the list is to chek eery val,v is not in the list the only way we can determine the v is not in the list is to check every,शोध यह है कि केवल बहुत कम संख्या में मूल्य का कहना है कि हम जीआई के बारे में कहते हैं
hav not sen it so fare we are not goend to see e later,have not seen it so far we are not going to see it later.,जब यह एक कला होती है तो हड्डियां मिलती हैं
the sequenc starts you an thist computeytimes this siyes of on yunit and uicely com,the sequence starts you can just compute i times this size of one unit and quickly go,या एटी अडास
nhave to look at inort befor,to look at any word before i.,तो डू इन plecibl चीजों का समर्थन करते हैं जो कि सूची के मिर्च हैं
so ingeneral if we have a sekuence the  eficient way to serch o thsvalue is to first lu,in general if we have a sequence that efficient way to search for this value is to first look,Doand gust to empasis कैसे लिस्ट काम करता है जब हम इस पाठ्यक्रम में आगे बढ़ते हैं तो हम वास्तविक होंगे
lay that when some bedy as you to ges the namo oaf peurson thear thinking of th,play that when somebody ask you to guess the name of a person they are thinking of then,"कुछ डेटा sucurs को कैसे लागू किया जाए, इसे देखें"
ncas  no then eol only ned tothing about en so   man so ov h,"person says no then you only need to think about m, so we have men.",दूसरे को और अधिक समाप्त कर दिया
this how  do th,on this.,इसके साथ फिट होने के लिए इसका विस्तार करने के लिए बहुत कुशल नहीं है क्योंकि हम पोड हैं तो एड शिफ्ट करें
as we lk a,how would we do that?,वर्स्ट केस फॉरेक्सप्लपल
tr nrart that wel loo at and so o n,of the next part that we look at and so on.,Youcan कल्पना करें कि क्या आप कुछ कहते हैं कि yore में एक स्पा को कवर किया गया है और फिर ओ ले ओ
we  demarate that segma using lan,so we will demarcate that segment using l and r.,हम यह भी बता सकते हैं कि हम पायथन में क्या उपयोग करते हैं जहां थेलिस्ट का प्रत्येक तत्व हो सकता है
to the th poion,to the ith position.,एक अलग प्रकार के और इसलिए प्रत्येक मान में एक अलग पक्ष हो सकता है
nhothrand the slite is not emptythen what we do is we first compute the mitde puit so we can,"on the other hand if the slice is not empty, then what we do is we first compute the midpoint.",tine prepportionalt to iy हम यह नहीं मान सकते कि हम संकुचित सूची में किसी भी स्थिति तक पहुंच सकते हैं
we find the mide pine n,"so, we find the midpoint.",लावस
and this cane be don in what we would cale constant timdns,and this can be done in what we could call constant time.,Formany Probleomes हमें Shrou को उसकी संभावनाओं को खोजने के लिए संभावनाओं का एक सेट देखना है
and therfore it stok s a mite mina s,and therefore it stops at mid minus 1.,आगे की ओर जाकर सभी संभावनाओं को पूरा करें
give us slides which is h empty because wee find tha the rite ont,give us a slice which is empty because we will find at the right point at the left point,स्पॉट या फर्स्ट्यूशन यह है कि बाउट का प्रतिनिधित्व कैसे करें क्योंकि वह बॉट क्या बदल रहा है
he leftuinto the same,are the same.,ycomath n therfore yo deisereot इन बहस
if the sequenceas lenged ern it taks only on step becaus we gust report that,if the sequence has length 0 then it takes only one step because we just report that,noow thairisis केवल एक wein इस विशेष चीज़ को दफनाने के लिए यह एक मोना और में है
icais fol we caont find it wither own elements left other wiys,it is false we cannot find it if there are no elements left.,एक enskuare inreie यह il केवल वास्तविक n ons टोपी giventhm है ताकि हम इष्टतम कर सकें
we want a  an ekpretion for y of m which satisiyes this outlis what is caled a riur nsnormnly,"we want an expression for t of n which satisfies, so this is what is called a recurrence normally.",अब अगर आप बहुत सुंदर हैं तो आपको पता होगा कि एक उवेन एक बहुत ही विशेष पीज़ है
on byty of envy n queueed so,plus 1 by t of n by 2 cube.,उसके अंग में सवाल सवाल उठाते हैं कि अगर सलामतता का अपमान होता है
so wat wen this ecprertion becomes on so e n is ecuoale  to the y,"so, when this expression becomes 1 so when n is equal to 2 to the k.",तब से हम डॉन हैं इसलिए हम Oweverif पर लौट सकते हैं यह अंतिम नहीं है फिर हम
aily the log of thouson pouthe ates to that an ecuvilin definition of lo,the log of 1000 to the base 2 and that is an equivalent definition of log.,n otwin हम इस समारोह को सटीक रूप से yplason के लिए टेर राउंड कहते हैं
sao w,at the midpoint.,यह किसी भी संख्या में वर्गों या यू एक पंक्ति स्तंभ या पिता को स्थानांतरित कर सकता है ताकि इंस्ट्रक के लिए
reserch is that by only loing ata very smal number of value says of empl we gi,"search is that by only looking at a very small number of values, say for example we give","M चाहे यह सुरक्षित हो या न हो, यदि एक्स्ट्रेंसल्यूशन उस isth के लिए है"
o so aftr ten harvings of thouson we wul a come down to r or  o,after 10 halvings of 1000 we would have come down to 0 or 1.,ecorent स्थिति ennaowaworit हम tre tre
bounes that are get when iy us an ary,bonus that i get when i use an array.,eplace एक uen उसे cerd ro n के साथ colom
or athe adas,or are they arrays.,भट हमें लेटो बीट मोरवर्क करना है कि यह कैसे लागू होता है
so the do seuppout these plecibl things wich arepeppical of list ow ever arthon sepports the,"they do support these flexible things which are typical of lists, however python supports",atsa a backiyd ckay है अगर iyher wus पहले tac bekwen में और thact ia पर mino है
doand gust to empasis how list s work when we go firther in this skourse we wl actual,"to, and just to emphasise how lists work when we go further in this course we will actually",uy कि हम buonly को चिह्नित करते हैं स्क्वार wich artact ectwen y so t
lok at how to implement som data sucurs,look at how to implement some data structures.,इसलिए आईटीडी को हटाने से वास्तव में आईएस के हमले के बारे में कुछ भी नहीं बदलता है
more elimed to the oter,one element to another.,plase onder एक सौदा केवल aufteradina सूरज और वह terns या देवता
fit withly it is not very efficient to expandit because we are pou then shift ed,of it quickly it is not very efficient to expand it because we have to then shift everything.,पहले tat खरीदें n ay खरीदें और जब हम Quwen Kay को हटा देते हैं तो हम यह कहने पर खानों में हैं
the wurst case forexample if thisrn blok coms t the selout posion then the emtir,"the worst case for example, if this green block comes into 0th position then the entire","जिनमें एक पत्थर एक टैक होगा, इसलिए यह पोर्ट दिशा का प्रतिनिधित्व करने के लिए बेटर हो जाएगा"
youcan imagin that onow if you have some say a a spas in yore couverd an then  o take o,you can imagine that if you have some say space in your cupboard and then you take out,इस ग्रीन Drgme के साथ हमारे पास एक ive s buslis और fyvla है तो Slaras Euletoe
we can also apromidate what we se in python wher  each element of thelist may,"another, we can also accommodate what we see in python where each element of the list maybe",क्या Gamaidee है या यह Alog har ta gain hos diferences gap lus wous कुछ गपसी है
of a diffrnt type and hencs each value miyt have a differnt side in it self,of a different type and hence each value might have a different size in itself.,इसी तरह हम मुर्गी एक हैं जो कहते हैं कि कैलोन यिस एक सौदा और फिर कैल
tine prepportionalt to iy we cant assume that we can reach any posion in the list in constrant,"time proportional to i, we cannot assume that we can reach any position in the list in constant",खट्टी ti taipan के लिए notwest यह है कि क्या अंतर समान है
lavesss,like this.,उसे मतभेदों के लिए ngem है और यहाँ अंतर e min a y है
we say that the h position pint sto the idlest on position which poine to the rest n,"we say that the ith position points to the i plus 1th position which point to the rest,",दक्षिणी और मूल्यों की संभावित सीमा एक पु माइन्सन मिन आइसन में फ्रोम है
formany probleomes we have to ertch  shrou a set of posibilitys norder to find hisulution,"for many problems, we have to search through a set of possibilities in order to find the",मिनी में मान या ई डॉट ने संकेत पर इतना माइनस जीता कि टी atsquin इस meomentt पर जगह नहीं है
serts to al the possibilityes by gowying forrds and backwores ne levilatatymp,search through all the possibilities by going forwards and backwards one level at a time.,मान Fyve Soube dictionaris को दर्शाता है ताकि Uwueein स्थिति जिसे हम Ke कहते हैं
